DateID,TimeID,DepartmentID,EmployeeID,PayHistoryID,ShiftID,JobCandidateID,Rate,VacationHours,SickLeaveHours
20090114,1200,16,1,1,1,0,125.5,99,69
20080131,1200,1,2,2,1,0,63.4615,1,20
20071111,1200,1,3,3,1,0,43.2692,2,21
20071205,1200,1,4,4,1,0,8.62,48,80
20071205,1200,1,4,5,1,0,23.72,48,80
20071205,1200,1,4,6,1,0,29.8462,48,80
20100531,1200,2,4,4,1,0,8.62,48,80
20100531,1200,2,4,5,1,0,23.72,48,80
20100531,1200,2,4,6,1,0,29.8462,48,80
20080106,1200,1,5,7,1,0,32.6923,5,22
20080124,1200,1,6,8,1,0,32.6923,6,23
20090208,1200,6,7,9,1,0,50.4808,61,50
20081229,1200,6,8,10,1,0,40.8654,62,51
20090116,1200,6,9,11,1,0,40.8654,63,51
20090503,1200,6,10,12,1,0,42.4808,16,64
20101205,1200,2,11,13,1,0,28.8462,7,23
20071211,1200,2,12,14,1,0,25.0,9,24
20101223,1200,2,13,15,1,0,25.0,8,24
20101230,1200,1,14,16,1,0,36.0577,3,21
20110118,1200,1,15,17,1,0,32.6923,4,22
20071220,1200,5,16,18,1,0,24.0,40,40
20071220,1200,5,16,19,1,0,28.75,40,40
20071220,1200,5,16,20,1,0,37.5,40,40
20090715,1200,4,16,18,1,0,24.0,40,40
20090715,1200,4,16,19,1,0,28.75,40,40
20090715,1200,4,16,20,1,0,37.5,40,40
20070126,1200,4,17,21,1,0,13.4615,42,41
20110207,1200,4,18,22,1,0,14.4231,48,44
20110214,1200,4,19,23,1,0,13.4615,43,41
20110107,1200,4,20,24,1,0,13.4615,41,40
20090302,1200,4,21,25,1,0,14.4231,44,42
20081212,1200,4,22,26,1,0,14.4231,45,42
20090112,1200,4,23,27,1,0,14.4231,46,43
20090118,1200,4,24,28,1,0,14.4231,47,43
20090203,1200,7,25,29,1,0,84.1346,64,52
20081201,1200,8,26,30,1,0,24.5192,43,41
20080227,1200,7,27,31,1,0,25.0,80,60
20060630,1200,7,28,32,1,0,12.45,21,30
20090123,1200,7,29,33,1,0,12.45,19,29
20090129,1200,7,30,34,1,0,12.45,14,27
20090104,1200,7,31,35,1,0,12.45,18,29
20081229,1200,7,32,36,1,0,12.45,23,31
20081217,1200,7,33,37,1,0,12.45,17,28
20090216,1200,7,34,38,1,0,12.45,15,27
20090208,1200,7,35,39,1,0,12.45,22,31
20090210,1200,7,36,40,1,0,12.45,20,30
20090307,1200,7,37,41,1,0,12.45,16,28
20100116,1200,7,38,42,1,0,12.45,24,32
20100205,1200,7,39,43,1,0,12.45,25,32
20071226,1200,7,40,44,3,0,25.0,82,61
20090121,1200,7,41,45,3,0,12.45,35,37
20081227,1200,7,42,46,3,0,12.45,39,39
20090102,1200,7,43,47,3,0,12.45,34,37
20081208,1200,7,44,48,3,0,12.45,38,39
20090226,1200,7,45,49,3,0,12.45,37,38
20090208,1200,7,46,50,3,0,12.45,36,38
20090222,1200,7,47,51,1,0,25.0,65,52
20080106,1200,7,48,52,1,0,13.45,83,61
20080107,1200,7,49,53,1,0,13.45,88,64
20080202,1200,7,50,54,1,0,13.45,84,62
