TimeID,FullTime,Hour,Minute,Second
0,00:00:00,0,0,0
1,00:01:00,0,1,0
2,00:02:00,0,2,0
3,00:03:00,0,3,0
4,00:04:00,0,4,0
5,00:05:00,0,5,0
6,00:06:00,0,6,0
7,00:07:00,0,7,0
8,00:08:00,0,8,0
9,00:09:00,0,9,0
10,00:10:00,0,10,0
11,00:11:00,0,11,0
12,00:12:00,0,12,0
13,00:13:00,0,13,0
14,00:14:00,0,14,0
15,00:15:00,0,15,0
16,00:16:00,0,16,0
17,00:17:00,0,17,0
18,00:18:00,0,18,0
19,00:19:00,0,19,0
20,00:20:00,0,20,0
21,00:21:00,0,21,0
22,00:22:00,0,22,0
23,00:23:00,0,23,0
24,00:24:00,0,24,0
25,00:25:00,0,25,0
26,00:26:00,0,26,0
27,00:27:00,0,27,0
28,00:28:00,0,28,0
29,00:29:00,0,29,0
30,00:30:00,0,30,0
31,00:31:00,0,31,0
32,00:32:00,0,32,0
33,00:33:00,0,33,0
34,00:34:00,0,34,0
35,00:35:00,0,35,0
36,00:36:00,0,36,0
37,00:37:00,0,37,0
38,00:38:00,0,38,0
39,00:39:00,0,39,0
40,00:40:00,0,40,0
41,00:41:00,0,41,0
42,00:42:00,0,42,0
43,00:43:00,0,43,0
44,00:44:00,0,44,0
45,00:45:00,0,45,0
46,00:46:00,0,46,0
47,00:47:00,0,47,0
48,00:48:00,0,48,0
49,00:49:00,0,49,0
50,00:50:00,0,50,0
51,00:51:00,0,51,0
52,00:52:00,0,52,0
53,00:53:00,0,53,0
54,00:54:00,0,54,0
55,00:55:00,0,55,0
56,00:56:00,0,56,0
57,00:57:00,0,57,0
58,00:58:00,0,58,0
59,00:59:00,0,59,0
100,01:00:00,1,0,0
101,01:01:00,1,1,0
102,01:02:00,1,2,0
103,01:03:00,1,3,0
104,01:04:00,1,4,0
105,01:05:00,1,5,0
106,01:06:00,1,6,0
107,01:07:00,1,7,0
108,01:08:00,1,8,0
109,01:09:00,1,9,0
110,01:10:00,1,10,0
111,01:11:00,1,11,0
112,01:12:00,1,12,0
113,01:13:00,1,13,0
114,01:14:00,1,14,0
115,01:15:00,1,15,0
116,01:16:00,1,16,0
117,01:17:00,1,17,0
118,01:18:00,1,18,0
119,01:19:00,1,19,0
120,01:20:00,1,20,0
121,01:21:00,1,21,0
122,01:22:00,1,22,0
123,01:23:00,1,23,0
124,01:24:00,1,24,0
125,01:25:00,1,25,0
126,01:26:00,1,26,0
127,01:27:00,1,27,0
128,01:28:00,1,28,0
129,01:29:00,1,29,0
130,01:30:00,1,30,0
131,01:31:00,1,31,0
132,01:32:00,1,32,0
133,01:33:00,1,33,0
134,01:34:00,1,34,0
135,01:35:00,1,35,0
136,01:36:00,1,36,0
137,01:37:00,1,37,0
138,01:38:00,1,38,0
139,01:39:00,1,39,0
140,01:40:00,1,40,0
141,01:41:00,1,41,0
142,01:42:00,1,42,0
143,01:43:00,1,43,0
144,01:44:00,1,44,0
145,01:45:00,1,45,0
146,01:46:00,1,46,0
147,01:47:00,1,47,0
148,01:48:00,1,48,0
149,01:49:00,1,49,0
150,01:50:00,1,50,0
151,01:51:00,1,51,0
152,01:52:00,1,52,0
153,01:53:00,1,53,0
154,01:54:00,1,54,0
155,01:55:00,1,55,0
156,01:56:00,1,56,0
157,01:57:00,1,57,0
158,01:58:00,1,58,0
159,01:59:00,1,59,0
200,02:00:00,2,0,0
201,02:01:00,2,1,0
202,02:02:00,2,2,0
203,02:03:00,2,3,0
204,02:04:00,2,4,0
205,02:05:00,2,5,0
206,02:06:00,2,6,0
207,02:07:00,2,7,0
208,02:08:00,2,8,0
209,02:09:00,2,9,0
210,02:10:00,2,10,0
211,02:11:00,2,11,0
212,02:12:00,2,12,0
213,02:13:00,2,13,0
214,02:14:00,2,14,0
215,02:15:00,2,15,0
216,02:16:00,2,16,0
217,02:17:00,2,17,0
218,02:18:00,2,18,0
219,02:19:00,2,19,0
220,02:20:00,2,20,0
221,02:21:00,2,21,0
222,02:22:00,2,22,0
223,02:23:00,2,23,0
224,02:24:00,2,24,0
225,02:25:00,2,25,0
226,02:26:00,2,26,0
227,02:27:00,2,27,0
228,02:28:00,2,28,0
229,02:29:00,2,29,0
230,02:30:00,2,30,0
231,02:31:00,2,31,0
232,02:32:00,2,32,0
233,02:33:00,2,33,0
234,02:34:00,2,34,0
235,02:35:00,2,35,0
236,02:36:00,2,36,0
237,02:37:00,2,37,0
238,02:38:00,2,38,0
239,02:39:00,2,39,0
240,02:40:00,2,40,0
241,02:41:00,2,41,0
242,02:42:00,2,42,0
243,02:43:00,2,43,0
244,02:44:00,2,44,0
245,02:45:00,2,45,0
246,02:46:00,2,46,0
247,02:47:00,2,47,0
248,02:48:00,2,48,0
249,02:49:00,2,49,0
250,02:50:00,2,50,0
251,02:51:00,2,51,0
252,02:52:00,2,52,0
253,02:53:00,2,53,0
254,02:54:00,2,54,0
255,02:55:00,2,55,0
256,02:56:00,2,56,0
